"National
Dex","Pokemon
Name",Classification,HP,Attack,Defense,"Special
Attack","Special
Defense",Speed,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,"Evolution
Method"
426,Drifblim,,150,80,44,90,54,80,498,Ghost,Flying,Aftermath,Unburden,Flare Boost,
427,Buneary,,55,66,44,44,56,85,350,Normal,,Run Away,Klutz,Limber,Friendship
428,Lopunny,,65,76,84,54,96,105,480,Normal,,Cute Charm,Klutz,Limber,
428.1,Lopunny (Mega),Mega Evolution,65,136,94,54,96,135,580,Normal,Fighting,Scrappy,,,
429,Mismagius,,60,60,60,105,105,105,495,Ghost,,Levitate,,,
430,Honchkrow,,100,125,52,105,52,71,505,Dark,Flying,Insomnia,Super Luck,Moxie,
431,Glameow,,49,55,42,42,37,85,310,Normal,,Limber,Own Tempo,Keen Eye,Lv. 38
432,Purugly,,71,82,64,64,59,112,452,Normal,,Thick Fat,Own Tempo,Defiant,
433,Chingling,Baby,45,30,50,65,50,45,285,Psychic,,Levitate,,,Friendship (Night)
434,Stunky,,63,63,47,41,41,74,329,Poison,Dark,Stench,Aftermath,Keen Eye,Lv. 34
435,Skuntank,,103,93,67,71,61,84,479,Poison,Dark,Stench,Aftermath,Keen Eye,
436,Bronzor,,57,24,86,24,86,23,300,Steel,Psychic,Levitate,Heatproof,Heavy Metal,Lv. 33
437,Bronzong,,67,89,116,79,116,33,500,Steel,Psychic,Levitate,Heatproof,Heavy Metal,
438,Bonsly,Baby,50,80,95,10,45,10,290,Rock,,Sturdy,Rock Head,Rattled,Level Up (Knowing Mimic)
439,Mime Jr.,Baby,20,25,45,70,90,60,310,Psychic,Fairy,Soundproof,Filter,Technician,Level Up (Knowing Mimic)
440,Happiny,Baby,100,5,5,15,65,30,220,Normal,,Natural Cure,Serene Grace,Friend Guard,Level Up (Holding Oval Stone)
441,Chatot,,76,65,45,92,42,91,411,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,
442,Spiritomb,,50,92,108,92,108,35,485,Ghost,Dark,Pressure,,Infiltrator,
443,Gible,Pseudo Legendary,58,70,45,40,45,42,300,Dragon,Ground,Sand Veil,,Rough Skin,Lv. 24
444,Gabite,Pseudo Legendary,68,90,65,50,55,82,410,Dragon,Ground,Sand Veil,,Rough Skin,Lv. 48
445,Garchomp,Pseudo Legendary,108,130,95,80,85,102,600,Dragon,Ground,Sand Veil,,Rough Skin,
445.1,Garchomp (Mega),"Psuedo Legendary, Mega Evolution",108,170,115,120,95,92,700,Dragon,Ground,Sand Force,,,
446,Munchlax,Baby,135,85,40,40,85,5,390,Normal,,Pickup,Thick Fat,Gluttony,Friendship (Day)
447,Riolu,Baby,40,70,40,35,40,60,285,Fighting,,Steadfast,Inner Focus,Prankster,Friendship (Day)
448,Lucario,,70,110,70,115,70,90,525,Fighting,Steel,Steadfast,Inner Focus,Justified,
448.1,Lucario (Mega),Mega Evolution,70,145,88,140,70,112,625,Fighting,Steel,Adaptability,,,
449,Hippopotas,,68,72,78,38,42,32,330,Ground,,Sand Stream,,Sand Force,Lv. 34
450,Hippowdon,,108,112,118,68,72,47,525,Ground,,Sand Stream,,Sand Force,
451,Skorupi,,40,50,90,30,55,65,330,Poison,Bug,Battle Armor,Sniper,Keen Eye,Lv. 40
452,Drapion,,70,90,110,60,75,95,500,Poison,Dark,Battle Armor,Sniper,Keen Eye,
453,Croagunk,,48,61,40,61,40,50,300,Poison,Fighting,Anticipation,Dry Skin,Poison Touch,Lv. 37
454,Toxicroak,,83,106,65,86,65,85,490,Poison,Fighting,Anticipation,Dry Skin,Poison Touch,
455,Carnivine,,74,100,72,90,72,46,454,Grass,,Levitate,,,
456,Finneon,,49,49,56,49,61,66,330,Water,,Swift Swim,Storm Drain,Water Veil,Lv. 31
457,Lumineon,,69,69,76,69,86,91,460,Water,,Swift Swim,Storm Drain,Water Veil,
458,Mantyke,Baby,45,20,50,60,120,50,345,Water,Flying,Swift Swim,Water Absorb,,Level Up (Remoraid in Party)
459,Snover,,60,62,50,62,60,40,334,Grass,Ice,Snow Warning,,Soundproof,Lv. 40
460,Abomasnow,,90,92,75,92,85,60,494,Grass,Ice,Snow Warning,,Soundproof,
460.1,Abomasnow (Mega),Mega Evolution,90,132,105,132,105,30,594,Grass,Ice,Snow Warning,,,
461,Weavile,,70,120,65,45,85,125,510,Dark,Ice,Pressure,,Pickpocket,
462,Magnezone,,70,70,115,130,90,60,535,Electric,Steel,Magnet Pull,Sturdy,Analytic,
463,Lickilicky,,110,85,95,80,95,50,515,Normal,,Own Tempo,Oblivious,Cloud Nine,
464,Rhyperior,,115,140,130,55,55,40,535,Ground,Rock,Lightningrod,Solid Rock,Reckless,
465,Tangrowth,,100,100,125,110,50,50,535,Grass,,Chlorophyll,Leaf Guard,Regenerator,
466,Electivire,,75,123,67,95,85,95,540,Electric,,Motor Drive,,Vital Spirit,
467,Magmortar,,75,95,67,125,95,83,540,Fire,,Flame Body,,Vital Spirit,
468,Togekiss,,85,50,95,120,115,80,545,Fairy,Flying,Hustle,Serene Grace,Super Luck,
469,Yanmega,,86,76,86,116,56,95,515,Bug,Flying,Speed Boost,Tinted Lens,Frisk,
470,Leafeon,Eeveelution,65,110,130,60,65,95,525,Grass,,Leaf Guard,,Chlorophyll,
471,Glaceon,Eeveelution,65,60,110,130,95,65,525,Ice,,Snow Cloak,,Ice Body,
472,Gliscor,,75,95,125,45,75,95,510,Ground,Flying,Hyper Cutter,Sand Veil,Poison Heal,
473,Mamoswine,,110,130,80,70,60,80,530,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,
474,Porygon-Z,,85,80,70,135,75,90,535,Normal,,Adaptability,Download,Analytic,
475,Gallade,,68,125,65,65,115,80,518,Psychic,Fighting,Steadfast,Sharpness,Justified,
475.1,Gallade (Mega),Mega Evolution,68,165,95,65,115,110,618,Psychic,Fighting,Inner Focus,,,
476,Probopass,,60,55,145,75,150,40,525,Rock,Steel,Sturdy,Magnet Pull,Sand Force,
477,Dusknoir,,45,100,135,65,135,45,525,Ghost,,Pressure,,,
478,Froslass,,70,80,70,80,70,110,480,Ice,Ghost,Snow Cloak,,Cursed Body,
479,Rotom,,50,50,77,95,77,91,440,Electric,Ghost,Levitate,,,
479.1,Rotom (Heat),,50,65,107,105,107,86,520,Electric,Fire,Levitate,,,
479.2,Rotom (Wash),,50,65,107,105,107,86,520,Electric,Water,Levitate,,,
479.3,Rotom (Frost),,50,65,107,105,107,86,520,Electric,Ice,Levitate,,,
479.4,Rotom (Fan),,50,65,107,105,107,86,520,Electric,Flying,Levitate,,,
479.5,Rotom (Mow),,50,65,107,105,107,86,520,Electric,Grass,Levitate,,,
480,Uxie,Sub-Legendary,75,75,130,75,130,95,580,Psychic,,Levitate,,,
481,Mesprit,Sub-Legendary,80,105,105,105,105,80,580,Psychic,,Levitate,,,
482,Azelf,Sub-Legendary,75,125,70,125,70,115,580,Psychic,,Levitate,,,
483,Dialga (Altered),Legendary,100,120,120,150,100,90,680,Steel,Dragon,Pressure,,Telepathy,
483.1,Dialga (Origin),Legendary,100,100,120,150,120,90,680,Steel,Dragon,Pressure,,Telepathy,
484,Palkia (Altered),Legendary,90,120,100,150,120,100,680,Water,Dragon,Pressure,,Telepathy,
484.1,Palkia (Origin),Legendary,90,100,100,150,120,120,680,Water,Dragon,Pressure,,Telepathy,
485,Heatran,Sub-Legendary,91,90,106,130,106,77,600,Fire,Steel,Flash Fire,,Flame Body,
486,Regigigas,Sub-Legendary,110,160,110,80,110,100,670,Normal,,Slow Start,,,
487,Giratina (Altered),Legendary,150,100,120,100,120,90,680,Ghost,Dragon,Pressure,,Telepathy,
487.1,Giratina (Origin),Legendary,150,120,100,120,100,90,680,Ghost,Dragon,Levitate,,,
488,Cresselia,Sub-Legendary,120,70,110,75,120,85,580,Psychic,,Levitate,,,
489,Phione,Mythical,80,80,80,80,80,80,480,Water,,Hydration,,,
490,Manaphy,Mythical,100,100,100,100,100,100,600,Water,,Hydration,,,
491,Darkrai,Mythical,70,90,90,135,90,125,600,Dark,,Bad Dreams,,,
492,Shaymin (Land),Mythical,100,100,100,100,100,100,600,Grass,,Natural Cure,,,
492.1,Shaymin (Sky),Mythical,100,103,75,120,75,127,600,Grass,Flying,Serene Grace,,,
493,Arceus,Mythical,120,120,120,120,120,120,720,Normal,,Multitype,,,
494,Victini,Mythical,100,100,100,100,100,100,600,Psychic,Fire,Victory Star,,,
495,Snivy,Starter,45,45,55,45,55,63,308,Grass,,Overgrow,,Contrary,Lv. 17
496,Servine,Starter,60,60,75,60,75,83,413,Grass,,Overgrow,,Contrary,Lv. 36
497,Serperior,Starter,75,75,95,75,95,113,528,Grass,,Overgrow,,Contrary,
498,Tepig,Starter,65,63,45,45,45,45,308,Fire,,Blaze,,Thick Fat,Lv. 17
499,Pignite,Starter,90,93,55,70,55,55,418,Fire,Fighting,Blaze,,Thick Fat,Lv. 36
500,Emboar,Starter,110,123,65,100,65,65,528,Fire,Fighting,Blaze,,Reckless,
501,Oshawott,Starter,55,55,45,63,45,45,308,Water,,Torrent,,Shell Armor,Lv. 17
502,Dewott,Starter,75,75,60,83,60,60,413,Water,,Torrent,,Shell Armor,Lv. 36
503,Samurott,Starter,95,100,85,108,70,70,528,Water,,Torrent,,Shell Armor,
503.1,Samurott (Hisuian),"Starter, Hisuian Variant",90,108,80,100,65,85,528,Water,Dark,Torrent,,Sharpness,
504,Patrat,,45,55,39,35,39,42,255,Normal,,Run Away,Keen Eye,Analytic,Lv. 20
505,Watchog,,60,85,69,60,69,77,420,Normal,,Illuminate,Keen Eye,Analytic,
506,Lillipup,,45,60,45,25,45,55,275,Normal,,Vital Spirit,Pickup,Run Away,Lv. 16
507,Herdier,,65,80,65,35,65,60,370,Normal,,Intimidate,Sand Rush,Scrappy,Lv. 32
508,Stoutland,,85,110,90,45,90,80,500,Normal,,Intimidate,Sand Rush,Scrappy,
509,Purrloin,,41,50,37,50,37,66,281,Dark,,Limber,Unburden,Prankster,Lv. 20
510,Liepard,,64,88,50,88,50,106,446,Dark,,Limber,Unburden,Prankster,
511,Pansage,,50,53,48,53,48,64,316,Grass,,Gluttony,,Overgrow,Leaf Stone
512,Simisage,,75,98,63,98,63,101,498,Grass,,Gluttony,,Overgrow,
513,Pansear,,50,53,48,53,48,64,316,Fire,,Gluttony,,Blaze,Fire Stone
514,Simisear,,75,98,63,98,63,101,498,Fire,,Gluttony,,Blaze,
515,Panpour,,50,53,48,53,48,64,316,Water,,Gluttony,,Torrent,Water Stone
516,Simipour,,75,98,63,98,63,101,498,Water,,Gluttony,,Torrent,
517,Munna,,76,25,45,67,55,24,292,Psychic,,Forewarn,Synchronize,Telepathy,Moon Stone
518,Musharna,,116,55,85,107,95,29,487,Psychic,,Forewarn,Synchronize,Telepathy,
519,Pidove,,50,55,50,36,30,43,264,Normal,Flying,Big Pecks,Super Luck,Rivalry,Lv. 21
520,Tranquill,,62,77,62,50,42,65,358,Normal,Flying,Big Pecks,Super Luck,Rivalry,Lv. 32
521,Unfezant,,80,115,80,65,55,93,488,Normal,Flying,Big Pecks,Super Luck,Rivalry,
522,Blitzle,,45,60,32,50,32,76,295,Electric,,Lightningrod,Motor Drive,Sap Sipper,Lv. 27
523,Zebstrika,,75,100,63,80,63,116,497,Electric,,Lightningrod,Motor Drive,Sap Sipper,
524,Roggenrola,,55,75,85,25,25,15,280,Rock,,Sturdy,Weak Armor,Sand Force,Lv. 25
525,Boldore,,70,105,105,50,40,20,390,Rock,,Sturdy,Weak Armor,Sand Force,Trade
526,Gigalith,,85,135,130,60,80,25,515,Rock,,Sturdy,Sand Stream,Sand Force,
527,Woobat,,65,45,43,55,43,72,323,Psychic,Flying,Unaware,Klutz,Simple,Friendship
528,Swoobat,,67,57,55,77,55,114,425,Psychic,Flying,Unaware,Klutz,Simple,
529,Drilbur,,60,85,40,30,45,68,328,Ground,,Sand Rush,Sand Force,Mold Breaker,Lv. 31
530,Excadrill,,110,135,60,50,65,88,508,Ground,Steel,Sand Rush,Sand Force,Mold Breaker,
531,Audino,,103,60,86,60,86,50,445,Normal,,Healer,Regenerator,Klutz,
531.1,Audino (Mega),Mega Evolution,103,60,126,80,126,50,545,Normal,Fairy,Healer,,,
532,Timburr,,75,80,55,25,35,35,305,Fighting,,Guts,Sheer Force,Iron Fist,Lv. 25
533,Gurdurr,,85,105,85,40,50,40,405,Fighting,,Guts,Sheer Force,Iron Fist,Trade
534,Conkeldurr,,105,140,95,55,65,45,505,Fighting,,Guts,Sheer Force,Iron Fist,
535,Tympole,,50,50,40,50,40,64,294,Water,,Swift Swim,Hydration,Water Absorb,Lv. 25
536,Palpitoad,,75,65,55,65,55,69,384,Water,Ground,Swift Swim,Hydration,Water Absorb,Lv. 36
537,Seismitoad,,105,95,75,85,75,74,509,Water,Ground,Swift Swim,Poison Touch,Water Absorb,
538,Throh,,120,100,85,30,85,45,465,Fighting,,Guts,Inner Focus,Mold Breaker,
539,Sawk,,75,125,75,30,75,85,465,Fighting,,Sturdy,Inner Focus,Mold Breaker,
540,Sewaddle,,45,53,70,40,60,42,310,Bug,Grass,Swarm,Chlorophyll,Overcoat,Lv. 20
541,Swadloon,,55,63,90,50,80,42,380,Bug,Grass,Leaf Guard,Chlorophyll,Overcoat,Friendship
542,Leavanny,,75,103,80,70,80,92,500,Bug,Grass,Swarm,Chlorophyll,Overcoat,
543,Venipede,,30,45,59,30,39,57,260,Bug,Poison,Poison Point,Swarm,Quick Feet,Lv. 22
544,Whirlipede,,40,55,99,40,79,47,360,Bug,Poison,Poison Point,Swarm,Quick Feet,Lv. 30
545,Scolipede,,60,100,89,55,69,112,485,Bug,Poison,Poison Point,Swarm,Quick Feet,
546,Cottonee,,40,27,60,37,50,66,280,Grass,Fairy,Prankster,Infiltrator,Chlorophyll,Sun Stone
547,Whimsicott,,60,67,85,77,75,116,480,Grass,Fairy,Prankster,Infiltrator,Chlorophyll,
548,Petilil,,45,35,50,70,50,30,280,Grass,,Chlorophyll,Own Tempo,Leaf Guard,Sun Stone
549,Lilligant,,70,60,75,110,75,90,480,Grass,,Chlorophyll,Own Tempo,Leaf Guard,
549.1,Lilligant (Hisuian),Hisuian Form,70,105,75,50,75,105,480,Grass,Fighting,Chlorophyll,Hustle,Leaf Guard,
550,Basculin (Red-Striped),,70,92,65,80,55,98,460,Water,,Reckless,Adaptability,Mold Breaker,
550.1,Basculin (Blue-STriped),,70,92,65,80,55,98,460,Water,,Rock Head,Adaptability,Mold Breaker,
550.2,Basculin (Hisuian),Hisuian Form,70,92,65,80,55,98,460,Water,,Rattled,Adaptability,Mold Breaker,294 HP Recoil Damage without Fainting
551,Sandile,,50,72,35,35,35,65,292,Ground,Dark,Intimidate,Moxie,Anger Point,Lv. 29
552,Krokorok,,60,82,45,45,45,74,351,Ground,Dark,Intimidate,Moxie,Anger Point,Lv. 40
553,Krookodile,,95,117,80,65,70,92,519,Ground,Dark,Intimidate,Moxie,Anger Point,
554,Darumaka,,70,90,45,15,45,50,315,Fire,,Hustle,,Inner Focus,Lv. 35
554.1,Darumaka (Galarian),Galarian Form,70,90,45,15,45,50,315,Ice,,Hustle,,Inner Focus,Ice Stone
555,Darmanitan,,105,140,55,30,55,95,480,Fire,,Sheer Force,,Zen Mode,
555.1,Darmanitan (Zen Mode),,105,30,105,140,105,55,540,Fire,Psychic,,,Zen Mode,
555.2,Darmanitan (Galarian),Galarian Form,105,140,55,30,55,95,480,Ice,,Gorilla Tactics,,Zen Mode,
555.3,"Darmanitan (Galarian, Zen Mode)",Galarian Form,105,160,55,30,55,135,540,Ice,Fire,Gorilla Tactics,,Zen Mode,
556,Maractus,,75,86,67,106,67,60,461,Grass,,Water Absorb,Chlorophyll,Storm Drain,
557,Dwebble,,50,65,85,35,35,55,325,Bug,Rock,Sturdy,Shell Armor,Weak Armor,Lv. 34
558,Crustle,,70,105,125,65,75,45,485,Bug,Rock,Sturdy,Shell Armor,Weak Armor,
559,Scraggy,,50,75,70,35,70,48,348,Dark,Fighting,Shed Skin,Moxie,Intimidate,Lv. 39
560,Scrafty,,65,90,115,45,115,58,488,Dark,Fighting,Shed Skin,Moxie,Intimidate,
561,Sigilyph,,72,58,80,103,80,97,490,Psychic,Flying,Wonder Skin,Magic Guard,Tinted Lens,
562,Yamask,,38,30,85,55,65,30,303,Ghost,,Mummy,,,Lv. 34
562.1,Yamask (Galarian),Galarian Form,38,55,85,30,65,30,303,Ground,Ghost,Wandering Spirit,,,"Take 49 HP Damage in Battle, Walk under Stone in Dusty Bowl"
563,Cofagrigus,,58,50,145,95,105,30,483,Ghost,,Mummy,,,
564,Tirtouga,Fossil,54,78,103,53,45,22,355,Water,Rock,Solid Rock,Sturdy,Swift Swim,Lv. 37
565,Carracosta,Fossil,74,108,133,83,65,32,495,Water,Rock,Solid Rock,Sturdy,Swift Swim,
566,Archen,Fossil,55,112,45,74,45,70,401,Rock,Flying,Defeatist,,,Lv. 37
567,Archeops,Fossil,75,140,65,112,65,110,567,Rock,Flying,Defeatist,,,
568,Trubbish,,50,50,62,40,62,65,329,Poison,,Stench,Sticky Hold,Aftermath,Lv. 36
569,Garbodor,,80,95,92,60,82,75,484,Poison,,Stench,Weak Armor,Aftermath,
570,Zorua,,40,65,40,80,40,65,330,Dark,,Illusion,,,Lv. 30
570.1,Zorua (Hisuian),Hisuian Form,35,60,40,85,40,70,330,Normal,Ghost,Illusion,,,Lv. 30
571,Zoroark,,60,105,60,120,60,105,510,Dark,,Illusion,,,
571.1,Zoroark (Hisuian),Hisuian Form,55,100,60,125,60,110,510,Normal,Ghost,Illusion,,,
572,Minccino,,55,50,40,40,40,75,300,Normal,,Cute Charm,Technician,Skill Link,Shiny Stone
573,Cinccino,,75,95,60,65,60,115,470,Normal,,Cute Charm,Technician,Skill Link,
574,Gothita,,45,30,50,55,65,45,290,Psychic,,Frisk,Competitive,Shadow Tag,Lv. 32
575,Gothorita,,60,45,70,75,85,55,390,Psychic,,Frisk,Competitive,Shadow Tag,Lv. 41
576,Gothitelle,,70,55,95,95,110,65,490,Psychic,,Frisk,Competitive,Shadow Tag,
577,Solosis,,45,30,40,105,50,20,290,Psychic,,Overcoat,Magic Guard,Regenerator,Lv. 32
578,Duosion,,65,40,50,125,60,30,370,Psychic,,Overcoat,Magic Guard,Regenerator,Lv. 41
579,Reuniclus,,110,65,75,125,85,30,490,Psychic,,Overcoat,Magic Guard,Regenerator,
580,Ducklett,,62,44,50,44,50,55,305,Water,Flying,Keen Eye,Big Pecks,Hydration,Lv. 35
581,Swanna,,75,87,63,87,63,98,473,Water,Flying,Keen Eye,Big Pecks,Hydration,
582,Vanillite,,36,50,50,65,60,44,305,Ice,,Ice Body,Snow Cloak,Weak Armor,Lv. 35
583,Vanillish,,51,65,65,80,75,59,395,Ice,,Ice Body,Snow Cloak,Weak Armor,Lv. 47
584,Vanilluxe,,71,95,85,110,95,79,535,Ice,,Ice Body,Snow Warning,Weak Armor,
585,Deerling (Spring),,60,60,50,40,50,75,335,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,Lv. 34
585.1,Deerling (Summer),,60,60,50,40,50,75,335,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,Lv. 34
585.2,Deerling (Autumn),,60,60,50,40,50,75,335,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,Lv. 34
585.3,Deerling (Winter),,60,60,50,40,50,75,335,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,Lv. 34
586,Sawsbuck,,80,100,70,60,70,95,475,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,
587,Emolga,,55,75,60,75,60,103,428,Electric,Flying,Static,,Motor Drive,
588,Karrablast,,50,75,45,40,45,60,315,Bug,,Swarm,Shed Skin,No Guard,Trade (For Shelmet)
589,Escavalier,,70,135,105,60,105,20,495,Bug,Steel,Swarm,Shell Armor,Overcoat,
590,Foongus,,69,55,45,55,55,15,294,Grass,Poison,Effect Spore,,Regenerator,Lv. 39
591,Amoonguss,,114,85,70,85,80,30,464,Grass,Poison,Effect Spore,,Regenerator,
592,Frillish,,55,40,50,65,85,40,335,Water,Ghost,Water Absorb,Cursed Body,,Lv. 40
593,Jellicent,,100,60,70,85,105,60,480,Water,Ghost,Water Absorb,Cursed Body,Damp,
594,Alomomola,,165,75,80,40,45,65,470,Water,,Healer,Hydration,Regenerator,
595,Joltik,,50,47,50,57,50,65,319,Bug,Electric,Compoundeyes,Unnerve,Swarm,Lv. 36
596,Galvantula,,70,77,60,97,60,108,472,Bug,Electric,Compoundeyes,Unnerve,Swarm,
597,Ferroseed,,44,50,91,24,86,10,305,Grass,Steel,Iron Barbs,,,Lv. 40
598,Ferrothorn,,74,94,131,54,116,20,489,Grass,Steel,Iron Barbs,,,
599,Klink,,40,55,70,45,60,30,300,Steel,,Plus,Minus,Clear Body,Lv. 38
600,Klang,,60,80,95,70,85,50,440,Steel,,Plus,Minus,Clear Body,Lv. 49
601,Klinklang,,60,100,115,70,85,90,520,Steel,,Plus,Minus,Clear Body,
602,Tynamo,,35,55,40,45,40,60,275,Electric,,Levitate,,,Lv. 39
603,Eelektrik,,65,85,70,75,70,40,405,Electric,,Levitate,,,Thunder Stone
604,Eelektross,,85,115,80,105,80,50,515,Electric,,Levitate,,,
605,Elgyem,,55,55,55,85,55,30,335,Psychic,,Telepathy,Synchronize,Analytic,Lv. 42
606,Beheeyem,,75,75,75,125,95,40,485,Psychic,,Telepathy,Synchronize,Analytic,
607,Litwick,,50,30,55,65,55,20,275,Ghost,Fire,Flash Fire,Flame Body,Shadow Tag,Lv. 41
608,Lampent,,60,40,60,95,60,55,370,Ghost,Fire,Flash Fire,Flame Body,Shadow Tag,Dusk Stone
609,Chandelure,,60,55,90,145,90,80,520,Ghost,Fire,Flash Fire,Flame Body,Shadow Tag,
610,Axew,,46,87,60,30,40,57,320,Dragon,,Rivalry,Mold Breaker,Unnerve,Lv. 38
611,Fraxure,,66,117,70,40,50,67,410,Dragon,,Rivalry,Mold Breaker,Unnerve,Lv. 48
612,Haxorus,,76,147,90,60,70,97,540,Dragon,,Rivalry,Mold Breaker,Unnerve,
613,Cubchoo,,55,70,40,60,40,40,305,Ice,,Snow Cloak,Slush Rush,Rattled,Lv. 37
614,Beartic,,95,130,80,70,80,50,505,Ice,,Snow Cloak,Slush Rush,Swift Swim,
615,Cryogonal,,80,50,50,95,135,105,515,Ice,,Levitate,,,
616,Shelmet,,50,40,85,40,65,25,305,Bug,,Hydration,Shell Armor,Overcoat,Trade (For Karrablast)
617,Accelgor,,80,70,40,100,60,145,495,Bug,,Hydration,Sticky Hold,Unburden,
618,Stunfisk,,109,66,84,81,99,32,471,Ground,Electric,Static,Limber,Sand Veil,
618.1,Stunfisk (Galarian),Galarian Form,109,81,99,66,84,32,471,Ground,Steel,Mimicry,,,
619,Mienfoo,,45,85,50,55,50,65,350,Fighting,,Inner Focus,Regenerator,Reckless,Lv. 50
620,Mienshao,,65,125,60,95,60,105,510,Fighting,,Inner Focus,Regenerator,Reckless,
621,Druddigon,,77,120,90,60,90,48,485,Dragon,,Rough Skin,Sheer Force,Mold Breaker,
622,Golett,,59,74,50,35,50,35,303,Ground,Ghost,Iron Fist,Klutz,No Guard,Lv. 43
623,Golurk,,89,124,80,55,80,55,483,Ground,Ghost,Iron Fist,Klutz,No Guard,
624,Pawniard,,45,85,70,40,40,60,340,Dark,Steel,Defiant,Inner Focus,Pressure,Lv. 52
625,Bisharp,,65,125,100,60,70,70,490,Dark,Steel,Defiant,Inner Focus,Pressure,Level Up (After Defeating 3 Leader Bisharp)
626,Bouffalant,,95,110,95,40,95,55,490,Normal,,Reckless,Sap Sipper,Soundproof,
627,Rufflet,,70,83,50,37,50,60,350,Normal,Flying,Keen Eye,Sheer Force,Hustle,Lv. 54
628,Braviary,,100,123,75,57,75,80,510,Normal,Flying,Keen Eye,Sheer Force,Defiant,
628.1,Braviary (Hisuian),Hisuian Form,110,83,70,112,70,65,510,Psychic,Flying,Keen Eye,Sheer Force,Tinted Lens,
629,Vullaby,,70,55,75,45,65,60,370,Dark,Flying,Big Pecks,Overcoat,Weak Armor,Lv. 54
630,Mandibuzz,,110,65,105,55,95,80,510,Dark,Flying,Big Pecks,Overcoat,Weak Armor,
631,Heatmor,,85,97,66,105,66,65,484,Fire,,Gluttony,Flash Fire,White Smoke,
632,Durant,,58,109,112,48,48,109,484,Bug,Steel,Swarm,Hustle,Truant,
633,Deino,Pseudo Legendary,52,65,50,45,50,38,300,Dark,Dragon,Hustle,,,Lv. 50
634,Zweilous,Pseudo Legendary,72,85,70,65,70,58,420,Dark,Dragon,Hustle,,,Lv. 64
635,Hydreigon,Pseudo Legendary,92,105,90,125,90,98,600,Dark,Dragon,Levitate,,,
636,Larvesta,,55,85,55,50,55,60,360,Bug,Fire,Flame Body,,Swarm,Lv. 59
637,Volcarona,,85,60,65,135,105,100,550,Bug,Fire,Flame Body,,Swarm,
638,Cobalion,Sub-Legendary,91,90,129,90,72,108,580,Steel,Fighting,Justified,,,
639,Terrakion,Sub-Legendary,91,129,90,72,90,108,580,Rock,Fighting,Justified,,,
640,Virizion,Sub-Legendary,91,90,72,90,129,108,580,Grass,Fighting,Justified,,,
641,Tornadus (Incarnate),Sub-Legendary,79,115,70,125,80,111,580,Flying,,Prankster,Defiant,Defiant,
641.1,Tornadus (Therian),Sub-Legendary,79,100,80,110,90,121,580,Flying,,Regenerator,,,
642,Thundurus (Incarnate),Sub-Legendary,79,115,70,125,80,111,580,Electric,Flying,Prankster,Defiant,Defiant,
642.1,Thundurus (Therian),Sub-Legendary,79,105,70,145,80,101,580,Electric,Flying,Volt Absorb,,,
643,Reshiram,Legendary,100,120,100,150,120,90,680,Dragon,Fire,Turboblaze,,,
644,Zekrom,Legendary,100,150,120,120,100,90,680,Dragon,Electric,Teravolt,,,
645,Landorus (Incarnate),Sub-Legendary,89,125,90,115,80,101,600,Ground,Flying,Sand Force,Sheer Force,Sheer Force,
645.1,Landorus (Therian),Sub-Legendary,89,145,90,105,80,91,600,Ground,Flying,Intimidate,,,
646,Kyurem,Legendary,125,130,90,130,90,95,660,Dragon,Ice,Pressure,,,
646.1,Kyurem (Black),Legendary,125,170,100,120,90,95,700,Dragon,Ice,Teravolt,,,
646.2,Kyurem (White),Legendary,125,120,90,170,100,95,700,Dragon,Ice,Turboblaze,,,
647,Keldeo,Mythical,91,72,90,129,90,108,580,Water,Fighting,Justified,,,
648,Meloetta (Aria),Mythical,100,77,77,128,128,90,600,Normal,Psychic,Serene Grace,,,
648.1,Meloetta (Pirouette),Mythical,100,128,90,77,77,128,600,Normal,Fighting,Serene Grace,,,
649,Genesect,Mythical,71,120,95,120,95,99,600,Bug,Steel,Download,,,
650,Chespin,Starter,56,61,65,48,45,38,313,Grass,,Overgrow,,Bulletproof,Lv. 16
651,Quilladin,Starter,61,78,95,56,58,57,405,Grass,,Overgrow,,Bulletproof,Lv. 36
652,Chesnaught,Starter,88,107,122,74,75,64,530,Grass,Fighting,Overgrow,,Bulletproof,
653,Fennekin,Starter,40,45,40,62,60,60,307,Fire,,Blaze,,Magician,Lv. 16
654,Braixen,Starter,59,59,58,90,70,73,409,Fire,,Blaze,,Magician,Lv. 36
655,Delphox,Starter,75,69,72,114,100,104,534,Fire,Psychic,Blaze,,Magician,
656,Froakie,Starter,41,56,40,62,44,71,314,Water,,Torrent,,Protean,Lv. 16
657,Frogadier,Starter,54,63,52,83,56,97,405,Water,,Torrent,,Protean,Lv. 36
658,Greninja,Starter,72,95,67,103,71,122,530,Water,Dark,Torrent,,Protean,
658.1,Ash-Greninja,,72,145,67,153,71,132,640,Water,Dark,Battle Bond,,,
